Group,Site,Colony ID,Li,B,Mg,Al,P,Ca,V,Cr,Fe,Co,Ni,Cu,Zn,Rb,Sr,Ag,Cd,Ba,Nd,Pb,U
SARI ,SARI 1,SARI 1-1,9.36241E-07,0.000120007,0.003081912,2.94119E-05,0.000121534,1,7.83179E-08,0,1.14356E-05,3.10675E-07,1.04677E-06,8.34456E-07,2.49204E-05,1.14833E-08,0.017990376,1.27622E-08,3.91299E-07,6.94493E-05,1.14521E-08,6.78581E-08,3.95394E-06
SARI ,SARI 1,SARI 1-2,7.98625E-07,0.000103948,0.003347693,2.10494E-05,9.87743E-05,1,1.03086E-07,8.21675E-08,2.59405E-05,3.30325E-07,1.00075E-06,8.69858E-07,1.07712E-05,1.54989E-08,0.017775378,1.52806E-08,2.79441E-07,5.60644E-05,7.61454E-08,1.10587E-07,4.90502E-06
SARI ,SARI 1,SARI 1-3,8.49036E-07,0.000113808,0.003103872,1.23327E-05,7.86213E-05,1,7.57066E-08,0,1.88468E-05,2.98122E-07,3.83674E-06,1.9427E-06,6.80969E-06,1.03747E-08,0.017579482,1.00621E-08,1.85012E-07,7.77391E-05,5.79114E-09,9.25746E-08,4.02505E-06
SARI ,SARI 1,SARI 1-4,8.74532E-07,0.000107702,0.002979366,1.67986E-05,9.47559E-05,1,7.37107E-08,0,2.6261E-05,3.09305E-07,1.02959E-06,8.28199E-07,8.88011E-06,7.20243E-09,0.017683181,1.50293E-08,3.39002E-07,8.87718E-05,1.26666E-08,1.00746E-07,3.06413E-06
SARI ,SARI 1,SARI 1-5,8.63177E-07,0.00012748,0.002245564,1.1919E-05,5.05466E-05,1,1.13025E-07,3.54415E-06,0.000173275,3.15703E-07,1.25391E-06,9.17113E-07,3.38761E-06,1.05713E-08,0.017824098,1.2394E-08,1.33538E-07,3.09978E-05,2.14039E-08,9.16118E-08,4.03833E-06
SARI ,SARI 1,SARI 1-6,1.11695E-06,0.000149933,0.002843765,1.20237E-05,3.73079E-05,1,1.12176E-07,0,9.5066E-06,3.6311E-07,1.09941E-06,5.90237E-07,1.69687E-06,1.72401E-08,0.020105961,1.69648E-08,4.55011E-08,2.92029E-05,3.68517E-08,9.30579E-08,9.49203E-06
SARI ,SARI 1,SARI 1-7,1.1026E-06,0.000134857,0.002730454,1.04123E-05,5.86149E-05,1,1.22688E-07,0,4.33033E-06,3.40965E-07,1.25108E-06,8.7002E-07,5.56165E-06,1.60498E-08,0.019828349,7.05855E-09,2.19796E-07,3.62446E-05,1.14374E-08,1.06828E-07,8.72604E-06
SARI ,SARI 1,SARI 1-8,1.02876E-06,0.000139567,0.002693428,1.57152E-05,6.63573E-05,1,1.07011E-07,1.69018E-07,1.7422E-05,4.00293E-07,1.1035E-06,9.90578E-07,4.22534E-06,1.22807E-08,0.019888485,1.18068E-08,1.77502E-07,4.46657E-05,1.22791E-08,1.20572E-07,1.0021E-05
SARI ,SARI 1,SARI 1-9,1.10353E-06,0.000136413,0.00261391,1.20991E-05,5.81339E-05,1,9.2793E-08,1.56718E-07,1.67497E-05,3.68015E-07,1.18261E-06,1.76252E-06,5.69134E-06,1.54127E-08,0.019825294,9.50017E-09,1.87294E-07,3.09495E-05,1.16471E-08,8.44338E-08,8.32245E-06
SARI ,SARI 1,SARI 1-10,1.00418E-06,0.000122496,0.002975294,1.62272E-05,7.13949E-05,1,1.01623E-07,0,6.27239E-06,3.57677E-07,1.15477E-06,1.02259E-06,4.74773E-06,1.45181E-08,0.019883235,1.52639E-08,1.92259E-07,4.9327E-05,1.5581E-08,9.97786E-08,8.24346E-06
SARI ,SARI 2,SARI 2-1,1.11762E-06,0.000159201,0.002877668,2.1283E-05,9.17849E-05,1,9.76685E-08,2.27786E-08,1.06463E-05,3.72528E-07,1.08825E-06,1.02105E-06,5.15596E-06,2.01096E-08,0.020642497,2.18977E-08,2.79529E-07,0.000110309,5.51175E-09,1.10032E-07,1.04083E-05
SARI ,SARI 2,SARI 2-2,9.45298E-07,0.000159412,0.002463466,1.22158E-05,6.47323E-05,1,9.92242E-08,0,6.70475E-06,3.47884E-07,1.19057E-06,8.23362E-07,3.76934E-06,2.16269E-08,0.020687446,2.22845E-08,1.50393E-07,3.49063E-05,2.9276E-08,8.15616E-08,1.1852E-05
SARI ,SARI 2,SARI 2-3,1.11591E-06,0.000167224,0.002608102,1.94799E-05,8.34612E-05,1,9.34794E-08,0,9.14524E-06,3.75012E-07,1.10796E-06,1.0938E-06,3.51977E-06,1.33993E-08,0.020667253,3.97185E-08,2.61556E-07,4.4858E-05,9.7861E-09,8.92414E-08,8.45433E-06
SARI ,SARI 2,SARI 2-4,1.13267E-06,0.000159228,0.002893582,2.14193E-05,8.84322E-05,1,1.00085E-07,0,1.31945E-05,3.54365E-07,1.39901E-06,1.00479E-06,4.10204E-06,1.9418E-08,0.020684443,1.8378E-08,1.36494E-07,6.02283E-05,3.20727E-08,1.04943E-07,9.44797E-06
SARI ,SARI 2,SARI 2-5,1.04184E-06,0.000157226,0.00321984,2.04075E-05,7.74802E-05,1,1.13065E-07,0,1.44923E-05,3.62552E-07,1.19138E-06,1.29527E-06,6.24712E-06,2.30313E-08,0.020215654,2.2287E-08,1.04578E-07,3.84267E-05,3.31365E-08,1.24641E-07,1.12861E-05
SARI ,SARI 2,SARI 2-6,1.08069E-06,0.000166343,0.004017172,2.34903E-05,0.000150204,1,9.85812E-08,4.57167E-08,2.70332E-05,4.25144E-07,1.34325E-06,1.92108E-06,1.2215E-05,2.76361E-08,0.021391638,9.00201E-09,3.74345E-07,5.38933E-05,2.79322E-08,1.32906E-07,6.25996E-06
