Group,Site,Colony ID,Colony length,Perc Mortality
SARI ,SARI 1,SARI 1-1,90,65
SARI ,SARI 1,SARI 1-2,70,50
SARI ,SARI 1,SARI 1-3,125,5
SARI ,SARI 1,SARI 1-4,60,5
SARI ,SARI 1,SARI 1-5,110,5
SARI ,SARI 1,SARI 1-6,57,25
SARI ,SARI 1,SARI 1-7,64,10
SARI ,SARI 1,SARI 1-8,96,50
SARI ,SARI 1,SARI 1-9,120,25
SARI ,SARI 1,SARI 1-10,80,10
SARI ,SARI 2,SARI 2-1,170,40
SARI ,SARI 2,SARI 2-2,75,20
SARI ,SARI 2,SARI 2-3,75,30
SARI ,SARI 2,SARI 2-4,65,10
SARI ,SARI 2,SARI 2-5,140,10
SARI ,SARI 2,SARI 2-6,95,15
SARI ,SARI 2,SARI 2-7,200,70
SARI ,SARI 2,SARI 2-8,80,50
SARI ,SARI 2,SARI 2-9,100,25
SARI ,SARI 2,SARI 2-10,320,40
SARI ,SARI 3,SARI 3-1,115,25
SARI ,SARI 3,SARI 3-2,100,5
SARI ,SARI 3,SARI 3-3,220,30
SARI ,SARI 3,SARI 3-4,120,30
SARI ,SARI 3,SARI 3-5,180,40
SARI ,SARI 3,SARI 3-6,120,25
SARI ,SARI 3,SARI 3-7,70,5
SARI ,SARI 3,SARI 3-8,80,5
SARI ,SARI 3,SARI 3-9,220,35
SARI ,SARI 3,SARI 3-10,60,5
BUIS,BUIS 1,BUIS 1-1,140,10
BUIS,BUIS 1,BUIS 1-2,180,10
BUIS,BUIS 1,BUIS 1-3,240,5
BUIS,BUIS 1,BUIS 1-4,120,5
BUIS,BUIS 1,BUIS 1-5,190,5
BUIS,BUIS 1,BUIS 1-6,130,5
BUIS,BUIS 1,BUIS 1-7,125,10
BUIS,BUIS 1,BUIS 1-8,105,5
BUIS,BUIS 1,BUIS 1-9,145,5
BUIS,BUIS 1,BUIS 1-10,125,10
BUIS,BUIS 2,BUIS 2-1,130,10
BUIS,BUIS 2,BUIS 2-2,170,15
BUIS,BUIS 2,BUIS 2-3,120,10
BUIS,BUIS 2,BUIS 2-4,150,25
BUIS,BUIS 2,BUIS 2-5,140,40
BUIS,BUIS 2,BUIS 2-6,190,20
BUIS,BUIS 2,BUIS 2-7,135,5
BUIS,BUIS 2,BUIS 2-8,180,40
BUIS,BUIS 2,BUIS 2-9,140,10
BUIS,BUIS 2,BUIS 2-10,200,20
BUIS,BUIS 4,BUIS 4-1,200,50
BUIS,BUIS 4,BUIS 4-2,130,10
BUIS,BUIS 4,BUIS 4-3,180,45
BUIS,BUIS 4,BUIS 4-4,120,65
BUIS,BUIS 6,BUIS 6-1,,
BUIS,BUIS 6,BUIS 6-2,,
BUIS,BUIS 6,BUIS 6-3,,
BUIS,BUIS 6,BUIS 6-4,,
BUIS,BUIS 6,BUIS 6-5,,
BUIS,BUIS 6,BUIS 6-6,,
BUIS,BUIS 6,BUIS 6-7,,
BUIS,BUIS 6,BUIS 6-8,,
BUIS,BUIS 6,BUIS 6-9,,
BUIS,BUIS 6,BUIS 6-10,,
