Group,Site,Colony ID,Li,B,Mg,Al,P,Ca,Fe,Co,Ni,Cu,Zn,Rb,Sr,Ag,Cd,Ba,Nd,Pb,U
SARI ,SARI 1,SARI 1-1,414.5499594,53136.75965,1364612.188,13023.04963,53812.76612,442781029.9,5063.466601,137.5607766,463.4896709,369.4812684,11034.29056,5.084568815,7965797.211,5.650838615,173.2599585,30750.81165,5.070782231,30.04625785,1750.729054
SARI ,SARI 1,SARI 1-2,364.1286521,47394.49453,1526362.254,9597.349679,45035.62003,455944521.7,11827.42729,150.6098904,456.2874168,396.6069577,4911.075505,7.066649683,8104586.229,6.967093888,127.4097834,25562.2405,34.71807091,50.42138903,2236.415046
SARI ,SARI 1,SARI 1-3,390.2519348,52310.76873,1426667.243,5668.604712,36137.57583,459641180.6,8662.752414,137.0290727,1763.52484,892.9458608,3130.015057,4.768621253,8080253.973,4.624951477,85.03920941,35732.07453,2.66184626,42.55110682,1850.076709
SARI ,SARI 1,SARI 1-4,404.0388337,49759.0856,1376484.489,7761.059158,43777.7868,462005804.6,12132.7278,142.9005586,475.6786631,382.6327619,4102.661154,3.327564117,8169732.225,6.943606114,156.6209919,41013.06643,5.852031474,46.54546264,1415.646454
SARI ,SARI 1,SARI 1-5,397.8228352,58753.09356,1034940.68,5493.24734,23296.01666,460882219.4,79859.40208,145.5017995,577.9030358,422.6812266,1561.287129,4.872120502,8214809.801,5.71216805,61.54531122,14286.33452,9.864655,42.2222451,1861.194718
SARI ,SARI 1,SARI 1-6,426.8024318,57291.8036,1086647.425,4594.453707,14255.92372,382115790.2,3632.620828,138.7500748,420.1020785,225.5388735,648.4025879,6.587719095,7682805.116,6.48251576,17.38669689,11158.88025,14.08161157,35.55890412,3627.055442
SARI ,SARI 1,SARI 1-7,428.9505486,52464.33359,1062247.635,4050.771924,22803.36666,389037037.9,1684.659403,132.6481907,486.7149374,338.4701696,2163.687705,6.243981509,7713962.286,2.746038166,85.50872102,14100.48087,4.449589984,41.56005376,3394.751866
SARI ,SARI 1,SARI 1-8,399.0076242,54131.54107,1044657.31,6095.189818,25736.94394,387854165.8,6757.188336,155.2554735,427.998407,384.1996964,1638.817267,4.763137009,7713831.617,4.579335397,68.84495625,17323.76217,4.762503939,46.76454571,3886.6922
SARI ,SARI 1,SARI 1-9,426.1368508,52676.78922,1009379.811,4672.171422,22448.83077,386157017.2,6468.018703,142.1113994,456.6734846,680.6095136,2197.750819,5.951702986,7655676.431,3.668558922,72.32500988,11951.38388,4.497611443,32.60469527,3213.771524
SARI ,SARI 1,SARI 1-10,386.0561541,47093.51992,1143851.749,6238.55704,27447.76814,384449974,2411.420276,137.5088124,443.9515943,393.1343243,1825.265807,5.581471471,7644109.094,5.868189385,73.91414962,18963.77326,5.990101725,38.35988598,3169.198964
SARI ,SARI 2,SARI 2-1,425.3142228,60584.49246,1095103.82,8099.287994,34928.97453,380552544.6,4051.484234,141.7666167,414.1344739,388.5634186,1962.115542,7.652776921,7855554.66,8.333232437,106.3754993,41978.3119,2.097511944,41.87301572,3960.906351
SARI ,SARI 2,SARI 2-2,357.9629044,60365.57415,932858.3807,4625.840464,24512.65516,378677247.9,2538.937299,131.7359449,450.8408202,311.7883626,1427.364078,8.189616684,7833865.111,8.438635764,56.95025808,13218.22992,11.08615347,30.88551304,4488.066349
SARI ,SARI 2,SARI 2-3,431.1286938,64606.86593,1007635.808,7526.039628,32245.08418,386348328.4,3533.248449,144.8852653,428.0599739,422.5874226,1359.856889,5.176782994,7984758.467,15.34519014,101.0516338,17330.8196,3.780842226,34.47827425,3266.314946
SARI ,SARI 2,SARI 2-4,433.415019,60928.75854,1107230.484,8196.1094,33838.61891,382650477.3,5048.897389,135.5979248,535.3304551,384.4835627,1569.648576,7.430288551,7914911.962,7.032349363,52.2295658,23046.37005,12.27264482,40.15666304,3615.268504
SARI ,SARI 2,SARI 2-5,401.0473768,60522.61089,1239448.506,7855.669433,29825.30483,384940982.6,5578.675347,139.561026,458.6105787,498.601197,2404.773291,8.865702416,7781833.614,8.579172685,40.25647397,14792.00154,12.7556114,47.97944022,4344.468842
SARI ,SARI 2,SARI 2-6,382.1031079,58814.82028,1420369.501,8305.575636,53108.30986,353574516.7,9558.264717,150.3202435,474.9399315,679.2461782,4318.916916,9.771409604,7563537.953,3.182882672,132.3589638,19055.29374,9.876102389,46.99202229,2213.363848
SARI ,SARI 2,SARI 2-7,411.6184475,49317.73051,1054822.598,4440.073566,24653.70418,350287108.6,2885.403034,141.474947,520.8677365,463.4933177,2091.208304,5.588789902,7419298.797,5.25074909,59.96402677,11492.70443,4.142107227,44.48317133,2475.367649
SARI ,SARI 2,SARI 2-8,434.9412055,55464.24184,1073025.805,6835.378687,37378.03223,350190443.8,7852.18594,140.1413612,562.2343479,1678.280097,3578.05766,5.711988544,7553489.05,1.720122205,166.9117621,25910.03066,2.019455182,35.17606046,2029.839639
SARI ,SARI 2,SARI 2-9,415.7272238,52706.94413,971969.5925,5341.905985,23093.26688,350072867.3,6855.098573,136.526235,469.7779794,409.6470776,2180.217313,5.244935118,7446249.231,3.223032813,46.30368203,15097.7735,5.116031276,33.99150396,1927.263383
SARI ,SARI 2,SARI 2-10,443.7599523,44905.76653,1801253.24,3603.766875,21639.58939,347968635.7,3615.224324,119.377929,462.3296042,329.3106171,2532.468732,7.073305652,7309468.701,2.411043495,71.35359169,11619.05507,3.257654764,40.14541022,2062.433306
SARI ,SARI 3,SARI 3-1,430.0635728,63106.88102,1250866.918,8656.099722,61200.492,383070717.3,4275.337816,143.9126695,465.917884,541.4208528,4556.964122,8.999346744,7900879.979,6.209748093,121.0338871,30446.19021,0.561030278,48.66844407,4082.995001
SARI ,SARI 3,SARI 3-2,446.3746659,61175.70632,970505.5853,7403.392597,41813.91849,386648886.5,2934.067138,138.9666573,416.2822944,311.6562187,4909.06652,5.74170011,7969299.505,7.258471094,91.75498341,18251.11702,0,45.38948055,3998.360937
