Group,Site,Sample ID, V  ,Cr  ,Ni , Cu  ,Zn  ,Ag,Cd,Ba ,Pb
SARI,SARI 1,SARI 1 - 1,5516.102294,691.8889748,1465.009287,1566.723882,6639.422555,5.566434661,26.4873987,52686.70545,1095.689398
SARI,SARI 1,SARI 1 - 2,6836.881629,800.7653101,1526.219399,1823.241771,8370.615453,6.135332535,37.18501538,70246.16415,1105.241903
SARI,SARI 1,SARI 1 - 3,3560.917238,611.5781409,1101.680659,1137.80309,4304.2383,2.753298394,29.28931201,26663.02797,1231.303877
SARI,SARI 2,SARI 2 - 1,7715.753988,1207.267918,1991.460375,1655.107718,4712.041969,3.033492405,65.62086672,18306.60908,857.7781697
SARI,SARI 2,SARI 2 - 2,3104.565351,1072.640165,1273.853374,586.2060909,1664.809126,1.53678083,21.53001563,9980.710907,397.84417
SARI,SARI 2,SARI 2 - 3,3184.542539,1048.191701,1231.687032,1027.571774,2290.709229,2.324940827,32.2981091,10327.65675,594.1050079
SARI,SARI 3,SARI 3 - 1,5904.439871,926.848468,1329.781153,1389.42069,5857.335245,5.318372908,27.77531294,34756.63728,638.5231843
SARI,SARI 3,SARI 3 - 2,7100.59017,943.1628575,1457.886129,1761.281911,6721.623472,5.492881767,28.33577497,36625.7659,623.0022899
SARI,SARI 3,SARI 3 - 3,6414.70053,856.6955536,1435.68586,1315.111591,6382.587892,4.777592722,22.53834453,33668.90995,662.3326707
SARI,SARI 4,SARI 4 -1,12207.2623,6741.069955,3489.860401,3531.768777,5581.974964,33.82625727,40.48452338,31127.76545,1214.005633
SARI,SARI 4,SARI 4 - 2,11427.01052,5697.611623,3965.760691,2913.318325,31152.04807,37.18154964,15.29273767,47404.86675,1213.250313
SARI,SARI 4,SARI 4 - 3,10757.82762,6200.291019,4130.358941,3601.456952,7535.115056,60.60654773,68.98205377,30773.48612,1042.920929
SARI,SARI 5,SARI 5 - 1,44637.86271,16388.80638,6662.185062,14255.83656,38520.29043,73.5391567,87.65604087,100602.9848,2890.719572
SARI,SARI 5,SARI 5 - 2,56559.81826,15425.11687,9221.665845,16767.46842,80348.23398,309.4291064,30.94989437,126879.4836,3127.352172
SARI,SARI 5,SARI 5 - 3,41507.1164,12901.87442,8219.070522,15238.80845,39740.01964,69.30546489,69.76071213,97962.87368,4475.191086
SARI,SARI 6,SARI 6 - 1,63856.88975,34424.79706,20322.02791,41329.51603,52368.12568,87.29006685,143.9809345,115554.133,7496.397376
SARI,SARI 6,SARI 6 - 2,62111.84677,31401.92139,21259.21749,39800.51584,74304.63388,113.7357967,69.71951091,121035.1259,7639.530817
SARI,SARI 6,SARI 6 - 3,69608.71261,34970.89647,19209.09241,42917.08874,58975.64397,144.3039849,147.8203543,128178.3666,8288.478487
SARI,SARI 7,SARI 7 - 1,16331.07646,10632.1601,8261.969188,6936.91262,6329.433251,62.49508252,65.11897275,30027.51448,1725.683968
SARI,SARI 7,SARI 7 - 2,10460.06418,23624.06336,5206.982234,2522.321211,24866.70368,13.03686879,16.14583909,40142.19775,1007.957581
SARI,SARI 7,SARI 7 - 3,8654.580304,5297.158029,2836.33724,2327.885055,4038.412702,51.70077624,11.00855395,18719.00906,812.0367716
SARI,SARI 8,SARI 8 - 1,96240.06993,39859.23141,25417.47224,85843.47179,76410.94103,110.8743195,228.0486069,177399.9505,20009.37162
