Group,Site,Sample ID,Li,Be,B,Na,Mg,Al,K,V,Cr,Fe,Mn,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Cd,Sb,Te,Ba,Tl,Pb
SARI,SARI 1,SARI 1 - 1,1572.344307,36.86184391,35802.11531,7747589.086,15254223.48,4844387.64,1162517.966,6316.237928,3511.727756,2181233.005,84328.3029,1599.670467,1703.799754,7626.196791,2513.277077,98.57950156,1920.841521,3559463.247,124.0000275,12.99568395,28.54975848,62.13276239,10.19301696,48334.99449,15.17435789,1618.64585
SARI,SARI 1,SARI 1 - 2,1723.515389,47.9871041,35240.31486,7839115.397,14235785.38,5939278.17,1287617.321,6961.176897,3835.428304,2586126.237,89673.46609,1606.653172,1904.268418,8122.898188,2776.989329,40.87723422,1870.767596,3617343.611,168.4619469,13.62115114,38.05614232,85.74398118,2.531003708,64814.24756,19.86383365,1664.261715
SARI,SARI 1,SARI 1 - 3,1480.082557,28.65831873,43752.30782,9345462.137,16275520.59,2748322.714,819547.8558,3793.664651,3001.982076,1374486.567,54511.54484,1185.623343,1175.683409,3987.865646,2216.862381,96.02080001,922.0373662,3265375.416,105.9356563,6.629157599,30.27724411,61.06991345,3.251195182,24453.87148,10.03642051,1743.850448
SARI,SARI 2,SARI 2 - 1,2073.028823,38.006108,33735.11134,8025348.91,17143393.34,3894561.693,847862.8313,8835.004738,6045.109644,2125124.768,303604.9914,2173.251272,1799.72797,5848.640412,5682.779941,127.4701038,1340.253985,3260055.979,213.122299,7.71579088,69.72713909,222.9779415,9.141985665,16791.94836,26.56577467,1267.411395
SARI,SARI 2,SARI 2 - 2,1102.589947,25.86770854,26368.34945,5507284.978,14711275.57,1191625.349,328887.648,3161.582777,5190.776893,763933.1291,37531.32927,1344.669485,620.5336541,1872.371163,2041.41218,21.32072436,416.8090946,3629721.348,141.0486518,4.307736165,22.07577384,73.09105735,3.778962942,9206.472951,20.52848863,600.0633022
SARI,SARI 2,SARI 2 - 3,1453.422115,25.04336932,30127.60667,5186014.445,15545778.39,1149952.666,360896.8461,3392.947728,5245.297359,879999.7651,58798.33858,1323.918818,1063.153485,2121.613775,2093.588373,69.83681252,445.8768234,3271014.647,116.2095611,5.684859351,33.45228094,69.92095753,0.27115861,9469.924916,17.61500853,841.9095257
SARI,SARI 3,SARI 3 - 1,1931.126772,46.56984545,31949.92773,7634921.563,14889788.16,5375597.808,886184.4317,6760.908484,4663.043051,2026990.478,87096.12325,1454.22644,1512.64572,6843.702776,2041.09945,135.5135896,1445.018354,3949860.788,200.8003248,12.43338211,29.89625963,111.0800055,7.342046656,31884.73922,44.40395372,943.6147645
SARI,SARI 3,SARI 3 - 2,2287.037789,54.68472235,32214.87247,7571592.665,14514242.94,5616225.547,1031909.446,7229.629634,4564.20177,2110208.067,95676.65001,1535.390607,1840.318772,6598.197491,2089.243751,95.88037779,1605.944158,3783605.391,275.8737351,12.36580431,29.01573729,131.8288282,2.676110647,33792.00094,49.27418193,938.8331195
SARI,SARI 3,SARI 3 - 3,2752.670249,38.64395985,31386.34656,7306596.539,13695983.95,5610399.442,1016645.688,6832.715658,4231.146007,1953048.388,113811.3248,1537.956808,1357.624033,5914.152226,1827.18634,65.74759913,1511.045492,3745931.987,214.6633193,11.11042956,23.38921283,108.2823722,4.681662594,30880.3571,47.27206959,938.4832553
SARI,SARI 4,SARI 4 -1,3051.540397,0,0,8345360.921,14016287.01,7225066.171,1344414.616,12204.66781,4979.180089,3535919.774,132047.5343,3347.755593,3388.147412,21953.16653,1540.09376,0,2711.900789,3469524.098,0,0,3.311912411,0,28.93114637,30747.6948,69.50372297,1133.828912
