Sample ID,Site,Lat ,Long
SARI 1 - 1,SARI 1,18.00917,64.92972
SARI 1 - 2,SARI 1,18.00917,64.92972
SARI 1 - 3,SARI 1,18.00917,64.92972
SARI 2 - 1,SARI 2,17.78417,64.8
SARI 2 - 2,SARI 2,17.78417,64.8
SARI 2 - 3,SARI 2,17.78417,64.8
SARI 3 - 1,SARI 3,17.99556,64.82444
SARI 3 - 2,SARI 3,17.99556,64.82444
SARI 3 - 3,SARI 3,17.99556,64.82444
SARI 4 -1,SARI 4,17.91139,64.82222
SARI 4 - 2,SARI 4,17.91139,64.82222
SARI 4 - 3,SARI 4,17.91139,64.82222
SARI 5 - 1,SARI 5,17.95611,64.81583
SARI 5 - 2,SARI 5,17.95611,64.81583
SARI 5 - 3,SARI 5,17.95611,64.81583
SARI 6 - 1,SARI 6,17.86611,64.8
SARI 6 - 2,SARI 6,17.86611,64.8
SARI 6 - 3,SARI 6,17.86611,64.8
SARI 7 - 1,SARI 7,17.90278,64.815
SARI 7 - 2,SARI 7,17.90278,64.815
SARI 7 - 3,SARI 7,17.90278,64.815
SARI 8 - 1,SARI 8,17.78167,64.91222
SARI 8 - 2,SARI 8,17.78167,64.91222
SARI 8 - 3,SARI 8,17.78167,64.91222
SARI 9 - 1,SARI 9,17.86556,64.91889
SARI 9 - 2,SARI 9,17.86556,64.91889
SARI 9 - 3,SARI 9,17.86556,64.91889
SARI 10 - 1,SARI 10,17.92333,64.90472
SARI 10 - 2,SARI 10,17.92333,64.90472
SARI 10 - 3,SARI 10,17.92333,64.90472
SARI 11 - 1,SARI 11,17.90528,64.935
SARI 11 - 2,SARI 11,17.90528,64.935
SARI 11 - 3,SARI 11,17.90528,64.935
SARI 12 - 1,SARI 12,18.00333,64.99806
SARI 12 - 2,SARI 12,18.00333,64.99806
SARI 12 - 3,SARI 12,18.00333,64.99806
BUIS 1 - 1,BUIS 1,18.04278,64.87472
BUIS 1 - 2,BUIS 1,18.04278,64.87472
BUIS 1 - 3,BUIS 1,18.04278,64.87472
BUIS 2 - 1,BUIS 2,17.85028,64.76
BUIS 2 - 2,BUIS 2,17.85028,64.76
BUIS 2 - 3,BUIS 2,17.85028,64.76
BUIS 4 - 1,BUIS 4,17.93694,64.70306
BUIS 4 - 2,BUIS 4,17.93694,64.70306
BUIS 4 - 3,BUIS 4,17.93694,64.70306
BiCW 1 - 1,BUIS 1,18.04278,64.87472
BiCW 1 - 2,BUIS 1,18.04278,64.87472
BiCW 1 - 3,BUIS 1,18.04278,64.87472
